Disease Name,Overview Link,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,symptom 20,symptom 21
Leukemia,https://www.mayoclinic.org/diseases-conditions/leukemia/symptoms-causes/syc-20374373,Fever or chills,Persistent fatigue weakness,Frequent or severe infections,Losing weight without trying,Swollen lymph nodes enlarged liver or spleen,Easy bleeding or bruising,Recurrent nosebleeds,Tiny red spots in your skin (petechiae),Excessive sweating especially at night,Bone pain or tenderness,,,,,,,,,,,
Lewy body dementia,https://www.mayoclinic.org/diseases-conditions/lewy-body-dementia/symptoms-causes/syc-20352025,Visual hallucinations,Movement disorders,Poor regulation of body functions,Cognitive problems,Trouble with sleep,Varying attention,Depression,Apathy,,,,,,,,,,,,,
Lichen planus,https://www.mayoclinic.org/diseases-conditions/lichen-planus/symptoms-causes/syc-20351378,Purple shiny flat bumps often on the inner forearms wrists or ankles,Lines of rash where the skin has been scratched,Lacy white patches on the tongue or inside of the cheeks,Itchiness,Painful sores in the mouth or genitals,Rarely hair loss,Nail scarring or loss,Dark lines from the tip of the nail to the base,,,,,,,,,,,,,
Liver disease,https://www.mayoclinic.org/diseases-conditions/liver-problems/symptoms-causes/syc-20374502, Yellowing of the skin and the whites of the eyes called jaundice,Yellowing of the skin might be harder to see on Black or brown skin,Belly pain and swelling,Swelling in the legs and ankles,Itchy skin,Dark urine,Pale stool,Constant tiredness,Nausea or vomiting,Loss of appetite,Bruising easily,,,,,,,,,,
Liver hemangioma,https://www.mayoclinic.org/diseases-conditions/liver-hemangioma/symptoms-causes/syc-20354234 ,Pain in the upper right abdomen,Feeling full after eating only a small amount of food (early satiety),Nausea,Vomiting,,,,,,,,,,,,,,,,,
Lobular carcinoma in situ (LCIS),https://www.mayoclinic.org/diseases-conditions/lobular-carcinoma-in-situ/symptoms-causes/syc-20374529, breast lump  ,abnormal area found on a mammogram,,,,,,,,,,,,,,,,,,,
Low blood pressure (hypotension),https://www.mayoclinic.org/diseases-conditions/low-blood-pressure/symptoms-causes/syc-20355465,Blurred or fading vision,Dizziness or lightheadedness,Fainting,Fatigue,Trouble concentrating,Nausea,,,,,,,,,,,,,,,
Lung cancer,https://www.mayoclinic.org/diseases-conditions/lung-cancer/symptoms-causes/syc-20374620,A new cough that doesn't go away,Chest pain,Coughing up blood even a small amount,Hoarseness,Shortness of breath,Wheezing,Bone pain,Headache,Losing weight without trying,Loss of appetite,Swelling in the face or neck,,,,,,,,,,
Lupus,https://www.mayoclinic.org/diseases-conditions/lupus/symptoms-causes/syc-20365789,Fatigue,Fever,Joint pain stiffness and swelling,Butterfly-shaped rash on the face that covers the cheeks and bridge of the nose or rashes elsewhere on the body,Skin lesions that appear or worsen with sun exposure,Fingers and toes that turn white or blue when exposed to cold or during stressful periods,Shortness of breath,Chest pain,Dry eyes,Headaches confusion and memory loss,,,,,,,,,,,
Lymphedema,https://www.mayoclinic.org/diseases-conditions/lymphedema/symptoms-causes/syc-20374682,Swelling of part or all of the arm or leg including fingers or toes,A feeling of heaviness or tightness,Restricted range of motion,Recurring infections,Hardening and thickening of the skin (fibrosis),,,,,,,,,,,,,,,,
Lymphoma,https://www.mayoclinic.org/diseases-conditions/lymphoma/symptoms-causes/syc-20352638,Fever,Night sweats,Fatigue,Itchy skin,Painless swelling of lymph nodes in the belly neck armpits or groin,Pain in chest abdomen or bones,Losing weight without trying,,,,,,,,,,,,,,
MÃ©niÃ¨re's disease,https://www.mayoclinic.org/diseases-conditions/menieres-disease/symptoms-causes/syc-20374910,,,,,,,,,,,,,,,,,,,,,
Wet Macular degeneration,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,Visual distortions such as straight lines seeming bent,Reduced central vision in one or both eyes,The need for brighter light when reading or doing close-up work,Difficulty adjusting to low light levels such as when entering a dimly lit restaurant or theater,Increased blurriness of printed words,Difficulty recognizing faces,A well-defined blurry spot or blind spot in the field of vision,notice changes in your central vision, lose the ability to see fine detail,,,,,,,,,,,,
Dry Macular degeneration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,Visual distortions such as straight lines seeming bent,Reduced central vision in one or both eyes,The need for brighter light when reading or doing close-up work,Increased difficulty adapting to low light levels such as when entering a dimly lit restaurant or theater,Increased blurriness of printed words,Difficulty recognizing faces,A well-defined blurry spot or blind spot in the field of vision,,,,,,,,,,,,,,
Malaria,https://www.mayoclinic.org/diseases-conditions/malaria/symptoms-causes/syc-20351184,Fever,Chills,General feeling of discomfort,Headache,Nausea and vomiting,Diarrhea,Abdominal pain,Muscle or joint pain,Fatigue,Rapid breathing,Rapid heart rate,Cough,,,,,,,,,
Male breast cancer,https://www.mayoclinic.org/diseases-conditions/male-breast-cancer/symptoms-causes/syc-20374740,A painless lump or thickening of the skin on the chest,Changes to the skin covering the chest such as dimpling puckering scaling or changes in the color of the skin,Changes to the nipple such as changes in the skin color or scaling or a nipple that begins to turn inward,Discharge or bleeding from the nipple,,,,,,,,,,,,,,,,,
Mammary duct ectasia,https://www.mayoclinic.org/diseases-conditions/mammary-duct-ectasia/symptoms-causes/syc-20374801,A dirty white greenish or black nipple discharge from one or both nipples,Tenderness in the nipple or surrounding breast tissue (areola),Redness of the nipple and areolar tissue,A breast lump or thickening near the clogged duct,A nipple that's turned inward (inverted),,,,,,,,,,,,,,,,
Marfan syndrome,https://www.mayoclinic.org/diseases-conditions/marfan-syndrome/symptoms-causes/syc-20350782,Tall and slender build,Disproportionately long arms legs and fingers,A breastbone that protrudes outward or dips inward,A high arched palate and crowded teeth,Heart murmurs,Extreme nearsightedness,An abnormally curved spine,Flat feet,,,,,,,,,,,,,
Measles,https://www.mayoclinic.org/diseases-conditions/measles/symptoms-causes/syc-20374857,Fever,Dry cough,Runny nose,Sore throat,Inflamed eyes (conjunctivitis),Tiny white spots with bluish-white centers on a red background found inside the mouth on the inner lining of the cheek — also called Koplik's spots,,A skin rash made up of large flat blotches that often flow into one another,,,,,,,,,,,,,
Melanoma,https://www.mayoclinic.org/diseases-conditions/melanoma/symptoms-causes/syc-20374884,A change in an existing mole,The development of a new pigmented or unusual-looking growth on the skin,,,,,,,,,,,,,,,,,,,
Meningitis,https://www.mayoclinic.org/diseases-conditions/meningitis/symptoms-causes/syc-20350508,Sudden high fever,Stiff neck,Severe headache,Nausea or vomiting,Confusion or trouble concentrating,Seizures,Sleepiness or trouble waking,Sensitivity to light,No appetite or thirst,Skin rash in some cases such as in meningococcal meningitis,,,,,,,,,,,
Menopause,https://www.mayoclinic.org/diseases-conditions/menopause/symptoms-causes/syc-20353397,Irregular periods,Vaginal dryness,Hot flashes,Chills,Night sweats,Sleep problems,Mood changes,Weight gain and slowed metabolism,Thinning hair and dry skin,Loss of breast fullness,,,,,,,,,,,
Mental Illness,https://www.mayoclinic.org/diseases-conditions/mental-illness/symptoms-causes/syc-20374968,Feeling sad or down,Confused thinking or reduced ability to concentrate,Excessive fears or worries or extreme feelings of guilt,Extreme mood changes of highs and lows,Withdrawal from friends and activities,Significant tiredness low energy or problems sleeping,Detachment from reality (delusions) paranoia or hallucinations,Inability to cope with daily problems or stress,Trouble understanding and relating to situations and to people,Problems with alcohol or drug use,Major changes in eating habits,Sex drive changes,Excessive anger hostility or violence,Suicidal thinking,,,,,,,
Mesenteric ischemia,https://www.mayoclinic.org/diseases-conditions/mesenteric-ischemia/symptoms-causes/syc-20374989#:~:text=Mesenteric%20ischemia%20(mez%2Dun%2Dis%20called%20acute%20mesenteric%20ischemia.,Sudden severe belly pain,Urgent need to have a bowel movement,Fever,Nausea and vomiting,Belly pain that starts about 30 minutes after eating,Pain that worsens over an hour,Pain that goes away within 1 to 3 hours,,,,,,,,,,,,,,
Mesothelioma,https://www.mayoclinic.org/diseases-conditions/mesothelioma/symptoms-causes/syc-20375022,Chest pain,Painful coughing,Shortness of breath,Unusual lumps of tissue under the skin on your chest,Unexplained weight loss,Abdominal pain,Abdominal swelling,Nausea,Unexplained weight loss,,,,,,,,,,,,
Metabolic syndrome,https://www.mayoclinic.org/diseases-conditions/metabolic-syndrome/symptoms-causes/syc-20351916,large waist circumference,increased thirst and urination,high blood sugar,fatigue,blurred vision,,,,,,,,,,,,,,,,
Migraine,https://www.mayoclinic.org/diseases-conditions/migraine/symptoms-causes/syc-20360201,Constipation,Mood changes from depression to euphoria,Food cravings,Neck stiffness,Increased urination,,,,,,,,,,,,,,,,
Miscarriage,https://www.mayoclinic.org/diseases-conditions/pregnancy-loss-miscarriage/symptoms-causes/syc-20354298,Bleeding from the vagina with or without pain including light bleeding called spotting,Pain or cramping in the pelvic area or lower back,Fluid or tissue passing from the vagina,Fast heartbeat,,,,,,,,,,,,,,,,,
Mitral valve disease,https://www.mayoclinic.org/diseases-conditions/mitral-valve-disease/symptoms-causes/syc-20355107,Fatigue,Irregular heartbeat,Shortness of breath,,,`,,,,,,,,,,,,,,,
Molluscum contagiosum,https://www.mayoclinic.org/diseases-conditions/molluscum-contagiosum/symptoms-causes/syc-20375227,Raised round skin-colored bumps,Small bumps — typically under about 1/4 inch (smaller than 6 millimeters) in diameter,Bumps with a small dent or dot at the top near the center,Itchy pink bumps,Bumps on the face trunk arms or legs of children,Bumps on the genitals lower abdomen or inner thighs of adults if the infection was sexually transmitted,,,,,,,,,,,,,,,
Mononucleosis,https://www.mayoclinic.org/diseases-conditions/mononucleosis/symptoms-causes/syc-20350328,Fatigue,Sore throat perhaps misdiagnosed as strep throat that doesn't get better after treatment with antibiotics,Fever,Swollen lymph nodes in your neck and armpits,Swollen tonsils,Headache,Skin rash,Soft swollen spleen,,,,,,,,,,,,,
Motion sickness,https://www.mayoclinic.org/diseases-conditions/motion-sickness/symptoms-causes/syc-20375562,Blurry vision when looking at distant objects,The need to squint or partially close the eyelids to see clearly,Headaches,Eyestrain,Constant squinting,Seeming to not be aware of distant objects,Blinking often,Rubbing the eyes often,Sitting close to the television or moving screens closer to the face,,,,,,,,,,,,
Multiple endocrine neoplasia type 1 (MEN 1),https://www.mayoclinic.org/diseases-conditions/men-1/symptoms-causes/syc-20353064,Tiredness,Bone pain,Broken bones,Kidney stones,Ulcers in the stomach or intestines,,,,,,,,,,,,,,,,
Multiple myeloma,https://www.mayoclinic.org/diseases-conditions/multiple-myeloma/symptoms-causes/syc-20353378,Bone pain especially in the spine chest or hips,Nausea,Constipation,Loss of appetite,Mental fogginess or confusion,Tiredness,Infections,Weight loss,Weakness,Thirst,Needing to urinate often,,,,,,,,,,
Multiple sclerosis,https://www.mayoclinic.org/diseases-conditions/multiple-sclerosis/symptoms-causes/syc-20350269,Numbness or weakness in one or more limbs that typically occurs on one side of your body at a time,Tingling,Electric-shock sensations that occur with certain neck movements especially bending the neck forward (Lhermitte sign),Lack of coordination,Unsteady gait or inability to walk,Partial or complete loss of vision usually in one eye at a time often with pain during eye movement,Prolonged double vision,Blurry vision,Vertigo,Problems with sexual bowel and bladder function,Fatigue,Slurred speech,Cognitive problems,Mood disturbances,,,,,,,
Muscular dystrophy,https://www.mayoclinic.org/diseases-conditions/muscular-dystrophy/symptoms-causes/syc-20375388,Frequent falls,Difficulty rising from a lying or sitting position,Trouble running and jumping,Waddling gait,Walking on the toes,Large calf muscles,Muscle pain and stiffness,Learning disabilities,Delayed growth,,,,,,,,,,,,
Myasthenia gravis,https://www.mayoclinic.org/diseases-conditions/myasthenia-gravis/symptoms-causes/syc-20352036,Drooping of one or both eyelids called ptosis,Double vision called diplopia which may be horizontal or vertical and improves or resolves when one eye is closed, Your speech might sound soft or nasal depending on which muscles are affected,You might choke easily making it difficult to eat drink or take pills Sometimes liquids you're trying to swallow come out your nose,The muscles used for chewing might tire halfway through a meal This is especially true if you've been eating something hard to chew such as steak,Change facial expressions,Breathing problems,Sight problems,walking problems,coordination problems,hard to hold up your head,,,,,,,,,,
Myelodysplastic syndromes,https://www.mayoclinic.org/diseases-conditions/myelodysplastic-syndromes/symptoms-causes/syc-20366977,Fatigue,Shortness of breath,unusual paleness (pallor) which occurs due to a low red blood cell count (anemia),Easy or unusual bruising or bleeding which occurs due to a low blood platelet count (thrombocytopenia),Pinpoint-sized red spots just beneath the skin that are caused by bleeding (petechiae),Frequent infections which occur due to a low white blood cell count (leukopenia),,,,,,,,,,,,,,,
Myelofibrosis,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,Feeling tired weak or short of breath usually because of anemia,Pain or fullness below your ribs on the left side due to an enlarged spleen,Easy bruising,Easy bleeding,Excessive sweating during sleep (night sweats),Fever,Bone pain,,,,,,,,,,,,,,
Myocarditis,https://www.mayoclinic.org/diseases-conditions/myocarditis/symptoms-causes/syc-20352539,Chest pain,Fatigue,Swelling of the legs ankles and feet,Rapid or irregular heartbeats called arrhythmias,Shortness of breath at rest or during activity,Lightheadedness or feeling like you might faint,Flu-like symptoms such as headache body aches joint pain fever or sore throat,,,,,,,,,,,,,,
Narcolepsy,https://www.mayoclinic.org/diseases-conditions/narcolepsy/symptoms-causes/syc-20375497,Excessive daytime sleepiness ,Sudden loss of muscle tone,Sleep paralysis,Hallucinations,Changes in rapid eye movement (REM) sleep ,,,,,,,,,,,,,,,,
Nasal polyps,https://www.mayoclinic.org/diseases-conditions/nasal-polyps/symptoms-causes/syc-20351888,Runny stuffy nose,Mucus running down the throat also known as postnasal drip,Not being able to smell,Not being able to taste,Facial pain or headache,Pain in the teeth,A sense of pressure over the forehead and face,Snoring,,,,,,,,,,,,,
Nausea,https://www.mayoclinic.org/symptoms/nausea/basics/definition/sym-20050736,Chest pain,Severe abdominal pain or cramping,Blurred vision,Confusion,High fever and stiff neck,Fecal material or fecal odor in the vomit,Rectal bleeding,,,,,,,,,,,,,,
Neck pain,https://www.mayoclinic.org/diseases-conditions/neck-pain/symptoms-causes/syc-20375581,Pain that's often worsened by holding the head in one place for long periods such as when driving or working at a computer,Muscle tightness and spasms,Decreased ability to move the head,Headache,,,,,,,,,,,,,,,,,
Nephrotic syndrome,https://www.mayoclinic.org/diseases-conditions/nephrotic-syndrome/symptoms-causes/syc-20375608,Severe swelling (edema) particularly around your eyes and in your ankles and feet,Foamy urine a result of excess protein in your urine,Weight gain due to fluid retention,Fatigue,Loss of appetite,,,,,,,,,,,,,,,,
Neuralgia,https://www.mayoclinic.org/diseases-conditions/trigeminal-neuralgia/symptoms-causes/syc-20353344 ,Episodes of intense shooting or jabbing pain that may feel like an electric shock,Sudden episodes of pain or pain triggered by touching the face chewing speaking or brushing your teeth,Episodes of pain lasting from a few seconds to several minutes,Pain that occurs with facial spasms,Episodes of pain lasting days weeks months or longer Some people have periods when they experience no pain,Pain in areas supplied by the trigeminal nerve These areas include the cheek jaw teeth gums or lips Less often the eye and forehead may be affected,Pain on one side of the face at a time,Pain focused in one spot Or the pain may be spread in a wider pattern,Pain that rarely occurs while sleeping,Episodes of pain that become more frequent and intense over time,,,,,,,,,,,
Neuroblastoma,https://www.mayoclinic.org/diseases-conditions/neuroblastoma/symptoms-causes/syc-20351017,Abdominal pain,A mass under the skin that isn't tender when touched,Changes in bowel habits such as diarrhea or constipation,Wheezing,Chest pain,Changes to the eyes including drooping eyelids and unequal pupil size,Lumps of tissue under the skin,Eyeballs that seem to protrude from the sockets (proptosis),Dark circles similar to bruises around the eyes,Back pain,Fever,Unexplained weight loss,Bone pain,,,,,,,,
Neuromyelitis optica,https://www.mayoclinic.org/diseases-conditions/neuromyelitis-optica/symptoms-causes/syc-20375652,blindness in one or both eyes, weakness or paralysis in the legs or arms, painful spasms, loss of sensation,uncontrollable vomiting and hiccups,bladder or bowel problems from spinal cord damage,confusion,coma,seizures,,,,,,,,,,,,
Nonalcoholic fatty liver disease,https://www.mayoclinic.org/diseases-conditions/nonalcoholic-fatty-liver-disease/symptoms-causes/syc-20354567,Fatigue,Not feeling well or malaise,Pain or discomfort in the upper right belly area,Itchy skin,Abdominal swelling also called ascites (uh-SY-teez),Shortness of breath,Swelling of the legs,Spider-like blood vessels just beneath the skin's surface,Enlarged spleen,Red palms,Yellowing of the skin and eyes or jaundice,,,,,,,,,,
Non-Hodgkin's lymphoma,https://www.mayoclinic.org/diseases-conditions/non-hodgkins-lymphoma/symptoms-causes/syc-20375680,Swollen lymph nodes in your neck armpits or groin,Abdominal pain or swelling,Chest pain coughing or trouble breathing,Persistent fatigue,Fever,"Night sweats
",Unexplained weight loss,,,,,,,,,,,,,,
Norovirus infection,https://www.mayoclinic.org/diseases-conditions/norovirus/symptoms-causes/syc-20355296,Nausea,Vomiting,Stomach pain or cramps,Watery or loose diarrhea,Feeling ill,Low-grade fever,Muscle pain,,,,,,,,,,,,,,
Nosebleeds,https://www.mayoclinic.org/symptoms/nosebleeds/basics/definition/sym-20050914,bleeding from the inside of your nose,,,,,,,,,,,,,,,,,,,,
Nystagmus,https://www.mayoclinic.org/diseases-conditions/nystagmus/symptoms-causes/syc-20375552,Blurry vision when looking at distant objects,The need to squint or partially close the eyelids to see clearly,Headaches,Eyestrain,,,,,,,,,,,,,,,,,
Obesity,https://www.mayoclinic.org/diseases-conditions/obesity/symptoms-causes/syc-20375742,High BMI ,,,,,,,,,,,,,,,,,,,,
Obsessive-compulsive disorder (OCD),https://www.mayoclinic.org/diseases-conditions/obsessive-compulsive-disorder/symptoms-causes/syc-20354432,Fear of contamination or dirt,Doubting and having a hard time dealing with uncertainty,Needing things to be orderly and balanced,Aggressive or horrific thoughts about losing control and harming yourself or others,Unwanted thoughts including aggression or sexual or religious subjects,Fear of being contaminated by touching objects others have touched,,,,,,,,,,,,,,,
Obstructive sleep apnea,https://www.mayoclinic.org/diseases-conditions/obstructive-sleep-apnea/symptoms-causes/syc-20352090,Excessive daytime sleepiness,Loud snoring,Observed episodes of stopped breathing during sleep,Waking during the night and gasping or choking,Awakening in the morning with a dry mouth or sore throat,Morning headaches,Trouble focusing during the day,Mood changes such as depression or being easily upset,High blood pressure,Decreased interest in sex,,,,,,,,,,,
Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,Pain Affected joints might hurt during or after movement,Stiffness Joint stiffness might be most noticeable upon awakening or after being inactive,Tenderness Your joint might feel tender when you apply light pressure to or near it,Loss of flexibility You might not be able to move your joint through its full range of motion,Grating sensation You might feel a grating sensation when you use the joint and you might hear popping or crackling,Bone spurs These extra bits of bone which feel like hard lumps can form around the affected joint,Swelling This might be caused by soft tissue inflammation around the joint,,,,,,,,,,,,,,
Osteomyelitis,https://www.mayoclinic.org/diseases-conditions/osteomyelitis/symptoms-causes/syc-20375815,Fever,Swelling warmth and redness over the area of the infection,Pain in the area of the infection,Fatigue,,,,,,,,,,,,,,,,,
Osteoporosis,https://www.mayoclinic.org/diseases-conditions/osteoporosis/symptoms-causes/syc-20351968,Back pain caused by a broken or collapsed bone in the spine,Loss of height over time,A stooped posture,A bone that breaks much more easily than expected,,,,,,,,,,,,,,,,,
Otitis media (ear infection),https://www.mayoclinic.org/diseases-conditions/ear-infections/symptoms-causes/syc-20351616,Ear pain especially when lying down,Tugging or pulling at an ear,Trouble sleeping,Crying more than usual,Fussiness,Trouble hearing or responding to sounds,Loss of balance,Fever of 100 F (38 C) or higher,Drainage of fluid from the ear,Headache,Loss of appetite,,,,,,,,,,
Ovarian cancer,https://www.mayoclinic.org/diseases-conditions/ovarian-cancer/symptoms-causes/syc-20375941,Abdominal bloating or swelling,Quickly feeling full when eating,Weight loss,Discomfort in the pelvic area,Fatigue,Back pain,Changes in bowel habits such as constipation,A frequent need to urinate,,,,,,,,,,,,,
Ovarian cysts,https://www.mayoclinic.org/diseases-conditions/ovarian-cysts/symptoms-causes/syc-20353405,Pelvic pain that may come and go You may feel a dull ache or a sharp pain in the area below your bellybutton toward one side,Fullness pressure or heaviness in your belly (abdomen),Bloating,,,,,,,,,,,,,,,,,,
Overactive bladder,https://www.mayoclinic.org/diseases-conditions/overactive-bladder/symptoms-causes/syc-20355715 ,Feel a sudden urge to urinate that's hard to control,Lose urine without meaning to after an urgent need to urinate called urgency incontinence,Urinate often This can mean eight or more times in 24 hours,Wake up more than twice a night to urinate called nocturia,,,,,,,,,,,,,,,,,
Paget's disease of bone,https://www.mayoclinic.org/diseases-conditions/pagets-disease-of-bone/symptoms-causes/syc-20350811,Pelvis Paget's disease of bone in the pelvis can cause hip pain,Skull An overgrowth of bone in the skull can cause hearing loss or headaches,Spine If your spine is affected nerve roots can become compressed This can cause pain tingling and numbness in an arm or leg,Leg As the bones weaken they may bend — causing you to become bowlegged Enlarged and misshapen bones in your legs can put extra stress on nearby joints which may cause osteoarthritis in your knee or hip,,,,,,,,,,,,,,,,,
Pancreatic cancer,https://www.mayoclinic.org/diseases-conditions/pancreatic-cancer/symptoms-causes/syc-20355421,Belly pain that spreads to the sides or back,Loss of appetite,,,,,,,,,,,,,,,,,,,
Pancreatitis,https://www.mayoclinic.org/diseases-conditions/pancreatitis/symptoms-causes/syc-20360227,Pain in the upper belly,Pain in the upper belly that radiates to the back,Tenderness when touching the belly,Fever,Rapid pulse,Upset stomach,Vomiting,Losing weight without trying,Oily smelly stools,,,,,,,,,,,,
Panic attacks and panic disorder,https://www.mayoclinic.org/diseases-conditions/panic-attacks/symptoms-causes/syc-20376021,Sense of impending doom or danger,Fear of loss of control or death,Rapid pounding heart rate,Sweating,,,,,,,,,,,,,,,,,
Parkinson's Disease,https://www.mayoclinic.org/diseases-conditions/parkinsons-disease/symptoms-causes/syc-20376055,Tremor,Slowed movement known as bradykinesia,Rigid muscles,Impaired posture and balance ,Loss of automatic movements,Speech changes,Writing changes,,,,,,,,,,,,,,
Paronychia,https://www.mayoclinic.org/diseases-conditions/nail-fungus/symptoms-causes/syc-20353294,Thickened nail,Discolored,Brittle crumbly or ragged,Misshapen,Separated from the nail bed,Smelly,,,,,,,,,,,,,,,
Patellar tendinitis,https://www.mayoclinic.org/diseases-conditions/patellar-tendinitis/symptoms-causes/syc-20376113,pain in the patellar tendon,swelling or redness about the joint,,,,,,,,,,,,,,,,,,,
Pelvic inflammatory disease (PID),https://www.mayoclinic.org/diseases-conditions/pelvic-inflammatory-disease/symptoms-causes/syc-20352594,Pain — ranging from mild to severe — in your lower abdomen and pelvis,Unusual or heavy vaginal discharge that may have an unpleasant odor,Unusual bleeding from the vagina especially during or after sex or between periods,Pain during sex,Fever sometimes with chills,Painful frequent or difficult urination,,,,,,,,,,,,,,,
Pemphigus,https://www.mayoclinic.org/diseases-conditions/pemphigus/symptoms-causes/syc-20350404, blisters in your mouth and then on your skin or genital mucous membranes,blisters on the chest back and shoulders,,,,,,,,,,,,,,,,,,,
Peptic Ulcer,https://www.mayoclinic.org/diseases-conditions/peptic-ulcer/symptoms-causes/syc-20354223,Burning stomach pain,Feeling of fullness bloating or belching,Intolerance to fatty foods,Heartburn,Nausea,,,,,,,,,,,,,,,,
Pericardial effusion,https://www.mayoclinic.org/diseases-conditions/pericardial-effusion/symptoms-causes/syc-20353720,Shortness of breath or difficulty breathing (dyspnea),Discomfort when breathing while lying down,Chest pain usually behind the breastbone or on the left side of the chest,Chest fullness,Lightheadedness or feeling faint,Swelling in the abdomen or legs,,,,,,,,,,,,,,,
Pericarditis,https://www.mayoclinic.org/diseases-conditions/pericarditis/symptoms-causes/syc-20352510,Spread to the left shoulder and neck or to both shoulders,Get worse when coughing lying down or taking a deep breath,Get better when sitting up or leaning forward,Cough,Fatigue or general feeling of weakness or being sick,Swelling of the legs or feet,Low-grade fever,Pounding or racing heartbeat also called heart palpitations,Shortness of breath when lying down,Swelling of the belly also called the abdomen,,,,,,,,,,,
Periodontitis,https://www.mayoclinic.org/diseases-conditions/periodontitis/symptoms-causes/syc-20354473,Swollen or puffy gums,Bright red dark red or dark purple gums,Gums that feel tender when touched,Gums that bleed easily,A toothbrush that looks pink after brushing your teeth,Spitting out blood when brushing or flossing your teeth,Bad breath that won't go away,Pus between your teeth and gums,Loose teeth or loss of teeth,Painful chewing,New spaces that develop between your teeth that look like black triangles,Gums that pull away from your teeth making your teeth look longer than usual called receding gums,A change in the way your teeth fit together when you bite,,,,,,,,
Peripheral artery disease (PAD),https://www.mayoclinic.org/diseases-conditions/peripheral-artery-disease/symptoms-causes/syc-20350557,Coldness in the lower leg or foot especially when compared with the other side,Leg numbness or weakness,No pulse or a weak pulse in the legs or feet,Painful cramping in one or both of the hips thighs or calf muscles after certain activities such as walking or climbing stairs,Shiny skin on the legs,Skin color changes on the legs,slower growth of the toenails,Sores on the toes feet or legs that won't heal,Pain when using the arms such as aching and cramping when knitting writing or doing other manual tasks,Erectile dysfunction,Hair loss or slower hair growth on the legs,,,,,,,,,,
Peripheral Neuropathy,https://www.mayoclinic.org/diseases-conditions/peripheral-neuropathy/symptoms-causes/syc-20352061,Sensory nerves that receive sensation such as temperature pain vibration or touch from the skin,Motor nerves that control muscle movement,Autonomic nerves that control functions such as blood pressure sweating heart rate digestion and bladder function,,,,,,,,,,,,,,,,,,
Peritonitis,https://www.mayoclinic.org/diseases-conditions/peritonitis/symptoms-causes/syc-20376247,Belly pain or tenderness,Bloating or a feeling of fullness in the abdomen,Fever,Upset stomach and vomiting,Loss of appetite,Diarrhea,Reduced urine,Thirst,Not able to pass stool or gas,Feeling tired,Confusion,Cloudy dialysis fluid,White flecks strands or clumps — which are called fibrin — in the dialysis fluid,,,,,,,,
Persistent depressive disorder (dysthymia),https://www.mayoclinic.org/diseases-conditions/persistent-depressive-disorder/symptoms-causes/syc-20350929,Sadness emptiness or feeling down,Loss of interest in daily activities,Tiredness and lack of energy,Low self-esteem self-criticism or feeling you're not capable,Trouble focusing clearly and trouble making decisions,Problems getting things done well and on time,Quickly becoming annoyed impatient or angry,Avoidance of social activities,Feelings of guilt and worries over the past,Poor appetite or overeating,Sleep problems,Hopelessness,,,,,,,,,
Pertussis (whooping cough),https://www.mayoclinic.org/diseases-conditions/whooping-cough/symptoms-causes/syc-20378973,Runny nose,Nasal congestion,Red watery eyes,Fever,Cough,Provoke vomiting,Result in a red or blue face,Cause extreme fatigue,"End with a high-pitched ""whoop"" sound during the next breath of air",,,,,,,,,,,,
Pheochromocytoma,https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/symptoms-causes/syc-20355367,High blood pressure,Headache,Heavy sweating,Rapid heartbeat,Nervous shaking,Skin that turns a lighter color also called pallor,Shortness of breath,Panic attack-type symptoms which can include sudden intense fear,Anxiety or a sense of doom,Vision problems,Vision problems,Weight loss,,,,,,,,,
Pilocytic astrocytoma,https://www.mayoclinic.org/diseases-conditions/pilocytic-astrocytoma/symptoms-causes/syc-20353754,Headache particularly one that hurts the most in the morning,Nausea and vomiting,Confusion or a decline in brain function such as problems with thinking and understanding information,Memory loss,Personality changes or irritability,Vision problems such as blurred vision double vision or loss of peripheral vision,Speech difficulties,Seizures especially in someone who hasn't had seizures before,,,,,,,,,,,,,
Pineal tumors,https://www.mayoclinic.org/diseases-conditions/pineal-tumors/symptoms-causes/syc-20353761,Headache or pressure in the head that is worse in the morning,Headaches that happen more often and seem more severe,Headaches that are sometimes described as tension headaches or migraines,Nausea or vomiting,Eye problems such as blurry vision seeing double or losing sight on the sides of your vision,Losing feeling or movement in an arm or a leg,Trouble with balance,Speech problems,Feeling very tired,Confusion in everyday matters,Memory problems,Having trouble following simple commands,Personality or behavior changes,Seizures especially if there is no history of seizures,Hearing problems,Dizziness or a sense that the world is spinning also called vertigo,Feeling very hungry and gaining weight,,,,
